equipamento_id,tipo_equipamento,temperatura,pressao,vibracao,horas_operacao,status
EQ-0195,Compressor,44.5,4.86,4.77,4033,critico
EQ-0196,Bomba,63.7,6.86,1.73,5443,normal
EQ-0197,Bomba,60.9,6.39,3.22,989,normal
EQ-0198,Ventilador,71.8,7.9,2.73,3744,alerta
EQ-0199,Motor,74.1,6.26,3.83,8611,alerta
EQ-0200,Compressor,92.5,5.03,4.12,593,critico
EQ-0201,Compressor,81.4,6.27,2.44,1774,alerta
EQ-0202,Ventilador,63.1,6.94,1.57,935,normal
EQ-0203,Compressor,59.2,6.57,2.91,3808,normal
EQ-0204,Motor,75.9,6.16,1.65,331,normal
EQ-0205,Ventilador,54.2,6.89,4.61,7922,critico
EQ-0206,Motor,92.0,7.02,2.55,2702,critico
EQ-0207,Ventilador,84.2,7.3,2.0,5889,alerta
EQ-0208,Ventilador,64.4,6.34,2.6,5054,normal
EQ-0209,Bomba,49.4,5.28,0.92,3868,normal
EQ-0210,Motor,86.2,5.69,1.33,4200,alerta
EQ-0211,Compressor,68.6,7.07,3.72,201,alerta
EQ-0212,Compressor,84.9,4.44,1.68,2497,alerta
EQ-0213,Motor,50.9,5.98,1.25,1842,normal
EQ-0214,Compressor,62.8,4.99,2.99,9101,normal
EQ-0215,Compressor,70.1,5.54,3.7,4658,alerta
EQ-0216,Motor,70.6,7.16,3.19,7544,alerta
EQ-0217,Ventilador,64.6,5.75,3.5,7718,alerta
EQ-0218,Motor,77.5,5.56,1.57,770,normal
EQ-0219,Ventilador,57.2,3.73,0.84,3155,normal
EQ-0220,Compressor,68.3,6.47,4.05,1628,alerta
EQ-0221,Compressor,71.4,6.34,2.05,386,normal
EQ-0222,Compressor,76.2,8.31,2.12,6031,critico
EQ-0223,Bomba,78.5,5.1,3.86,6439,alerta
EQ-0224,Ventilador,56.5,5.78,3.01,6401,normal
EQ-0225,Bomba,51.6,5.82,2.9,4008,normal
EQ-0226,Bomba,85.3,7.55,4.78,2466,critico
EQ-0227,Motor,74.0,5.38,1.69,2282,normal
EQ-0228,Bomba,61.0,5.86,3.42,1856,normal
EQ-0229,Motor,88.6,6.29,2.46,7980,alerta
EQ-0230,Motor,71.4,5.74,2.7,1998,normal
EQ-0231,Bomba,84.2,4.92,4.08,5476,alerta
EQ-0232,Ventilador,70.8,5.75,2.96,9428,normal
EQ-0233,Ventilador,94.7,6.9,2.99,4669,critico
EQ-0234,Ventilador,91.1,4.17,3.58,9342,critico
EQ-0235,Ventilador,67.0,5.67,2.0,4318,normal
EQ-0236,Ventilador,81.7,4.59,1.48,7064,alerta
EQ-0237,Bomba,77.7,7.05,1.25,7446,alerta
EQ-0238,Bomba,86.4,3.52,0.24,1431,alerta
EQ-0239,Compressor,58.4,4.77,4.66,5624,critico
EQ-0240,Ventilador,78.2,5.99,1.19,7461,normal
EQ-0241,Bomba,82.7,7.54,2.16,1819,alerta
EQ-0242,Compressor,48.9,5.41,2.1,1130,normal
EQ-0243,Ventilador,55.8,4.78,2.74,6563,normal
EQ-0244,Motor,45.5,7.95,3.3,2658,alerta
EQ-0245,Compressor,66.8,3.62,3.35,3500,normal
EQ-0246,Bomba,78.6,2.64,1.76,8566,alerta
EQ-0247,Motor,88.0,6.07,2.22,2120,alerta
EQ-0248,Motor,70.9,4.85,2.71,4020,normal
EQ-0249,Motor,89.5,4.17,2.13,3259,alerta
EQ-0250,Compressor,53.4,6.42,4.17,1823,alerta
EQ-0251,Bomba,49.6,5.82,2.94,1474,normal
EQ-0252,Motor,69.3,4.77,3.21,2242,normal
EQ-0253,Ventilador,74.6,3.84,3.13,3243,normal
EQ-0254,Motor,69.6,6.63,3.69,6990,alerta
EQ-0255,Motor,45.2,6.35,2.6,5160,normal
EQ-0256,Compressor,68.9,5.37,0.97,3134,normal
EQ-0257,Compressor,54.3,7.9,2.84,2070,alerta
EQ-0258,Bomba,78.0,4.11,1.68,359,normal
EQ-0259,Ventilador,74.4,3.52,1.82,1141,normal
EQ-0260,Compressor,58.7,4.6,3.05,1635,normal
EQ-0261,Motor,63.8,5.44,3.76,4000,alerta
EQ-0262,Bomba,57.3,5.82,2.42,3361,normal
EQ-0263,Motor,69.2,5.19,2.74,6583,normal
EQ-0264,Motor,81.5,5.96,4.27,7835,alerta
EQ-0265,Compressor,58.2,3.87,2.66,6,normal
EQ-0266,Bomba,76.0,7.38,5.26,3267,critico
EQ-0267,Ventilador,63.6,5.39,3.02,6564,normal
EQ-0268,Ventilador,60.5,6.95,0.46,9783,normal
EQ-0269,Compressor,68.7,5.95,3.23,4928,normal
EQ-0270,Compressor,57.6,6.09,2.82,2606,normal
EQ-0271,Bomba,63.4,6.24,3.82,5906,alerta
EQ-0272,Ventilador,55.6,6.08,3.14,3273,normal
EQ-0273,Ventilador,93.6,6.34,2.25,7611,critico
EQ-0274,Ventilador,70.4,7.23,1.05,913,alerta
EQ-0275,Motor,61.6,5.76,2.17,2011,normal
EQ-0276,Ventilador,72.6,6.42,1.46,1442,normal
EQ-0277,Motor,68.7,5.38,1.76,5546,normal
EQ-0278,Bomba,67.3,7.37,3.05,1829,alerta
EQ-0279,Motor,77.4,4.62,4.24,8767,alerta
EQ-0280,Bomba,79.1,7.84,2.83,6468,alerta
EQ-0281,Ventilador,63.6,5.45,1.08,929,normal
EQ-0282,Ventilador,63.1,3.64,2.89,3699,normal
EQ-0283,Bomba,66.7,5.67,3.72,9655,alerta
EQ-0284,Compressor,42.4,4.61,1.73,1054,normal
EQ-0285,Bomba,51.8,6.59,2.25,5744,normal
EQ-0286,Compressor,86.4,4.65,2.42,1900,alerta
EQ-0287,Motor,89.7,4.92,1.54,9649,alerta
EQ-0288,Motor,67.0,3.04,3.11,6980,normal
EQ-0289,Motor,76.9,4.91,2.27,7069,normal
EQ-0290,Ventilador,73.7,2.35,2.86,9591,alerta
EQ-0291,Motor,106.9,3.44,1.42,3415,critico
EQ-0292,Compressor,83.4,6.49,1.92,442,alerta
EQ-0293,Motor,68.5,6.52,3.19,6218,normal
EQ-0294,Bomba,58.5,6.05,1.99,4652,normal
EQ-0295,Bomba,50.7,4.24,4.3,7939,alerta
EQ-0296,Ventilador,72.4,5.44,1.96,7833,normal
EQ-0297,Bomba,60.9,5.5,2.65,9370,normal
EQ-0298,Compressor,52.9,3.99,3.43,7597,normal
EQ-0299,Motor,62.2,7.45,0.84,4458,alerta
EQ-0300,Ventilador,57.0,6.64,0.46,6591,normal
EQ-0301,Motor,90.2,5.21,0.72,9449,critico
EQ-0302,Motor,80.6,5.53,3.79,2309,alerta
EQ-0303,Compressor,69.9,5.77,1.79,6268,normal
EQ-0304,Bomba,87.8,2.85,5.21,910,critico
EQ-0305,Bomba,70.9,5.18,1.78,4340,normal
EQ-0306,Motor,59.7,4.61,2.6,4009,normal
EQ-0307,Ventilador,88.3,4.2,4.1,6628,alerta
EQ-0308,Bomba,76.5,5.13,4.61,2169,critico
EQ-0309,Ventilador,57.6,7.84,4.67,2172,critico
EQ-0310,Bomba,67.7,6.33,3.73,5668,alerta
EQ-0311,Ventilador,59.5,4.76,3.53,6313,alerta
EQ-0312,Compressor,53.4,6.24,3.05,8315,normal
EQ-0313,Ventilador,81.1,7.32,3.26,8036,alerta
EQ-0314,Compressor,92.9,6.7,1.79,6789,critico
EQ-0315,Compressor,53.2,5.58,1.5,785,normal
EQ-0316,Ventilador,76.8,4.66,2.4,6139,normal
EQ-0317,Compressor,62.2,6.41,2.21,6344,normal
EQ-0318,Motor,64.2,6.01,1.9,2416,normal
EQ-0319,Compressor,62.9,6.66,3.17,8988,normal
EQ-0320,Bomba,59.6,6.33,3.45,4154,normal
EQ-0321,Ventilador,70.6,6.86,2.5,5619,normal
EQ-0322,Motor,60.0,4.8,4.03,1936,alerta
EQ-0323,Ventilador,73.2,7.21,1.14,3807,alerta
EQ-0324,Bomba,69.4,5.76,2.19,7151,normal
EQ-0325,Bomba,67.1,8.2,1.61,9493,critico
EQ-0326,Bomba,59.1,4.6,0.35,3236,normal
EQ-0327,Compressor,63.1,7.76,2.31,2352,alerta
EQ-0328,Compressor,79.1,5.76,2.27,1932,normal
EQ-0329,Ventilador,76.0,4.65,4.06,8556,alerta
EQ-0330,Ventilador,58.3,4.87,3.09,4916,normal
EQ-0331,Motor,71.2,5.08,1.27,5498,normal
EQ-0332,Motor,79.0,6.05,4.44,946,alerta
EQ-0333,Ventilador,50.0,6.18,3.74,9569,alerta
EQ-0334,Compressor,76.5,4.75,3.04,1439,normal
EQ-0335,Bomba,62.0,5.47,2.15,7730,normal
EQ-0336,Ventilador,76.8,8.28,1.34,4857,critico
EQ-0337,Motor,60.8,7.75,1.99,340,alerta
EQ-0338,Compressor,48.3,6.07,3.6,382,alerta
EQ-0339,Ventilador,50.5,5.55,4.47,9748,alerta
EQ-0340,Ventilador,70.6,5.66,4.1,8491,alerta
EQ-0341,Compressor,73.1,6.3,1.86,138,normal
EQ-0342,Ventilador,59.1,4.17,1.17,358,normal
EQ-0343,Compressor,77.7,5.17,2.55,4931,normal
EQ-0344,Bomba,50.1,3.33,0.45,9714,normal
EQ-0345,Compressor,69.2,6.02,2.76,3456,normal
EQ-0346,Compressor,55.5,6.34,2.24,1627,normal
EQ-0347,Compressor,62.2,4.87,1.89,9495,normal
EQ-0348,Ventilador,70.6,7.55,0.65,6626,alerta
EQ-0349,Ventilador,59.7,3.91,2.96,5004,normal
EQ-0350,Compressor,65.4,3.6,1.81,9326,normal
EQ-0351,Ventilador,82.1,5.79,1.11,6652,alerta
EQ-0352,Motor,63.1,6.86,-0.76,6416,normal
EQ-0353,Motor,80.0,7.69,2.37,3170,alerta
EQ-0354,Ventilador,56.4,4.9,4.35,3835,alerta
EQ-0355,Ventilador,76.4,6.9,4.23,8017,alerta
EQ-0356,Compressor,87.3,5.45,1.9,2151,alerta
EQ-0357,Bomba,40.3,5.28,1.74,9429,normal
EQ-0358,Ventilador,60.4,6.65,2.92,6905,normal
EQ-0359,Motor,76.9,6.35,1.3,2834,normal
EQ-0360,Compressor,67.6,3.45,2.73,9190,normal
EQ-0361,Ventilador,74.5,7.42,3.24,2567,alerta
EQ-0362,Motor,62.8,7.29,3.75,1307,alerta
EQ-0363,Motor,71.0,4.69,2.29,8848,normal
EQ-0364,Bomba,68.1,6.01,2.18,2660,normal
EQ-0365,Compressor,84.0,6.14,1.43,3730,alerta
EQ-0366,Compressor,73.1,5.84,1.49,6207,normal
EQ-0367,Bomba,74.1,4.78,2.15,3162,normal
EQ-0368,Bomba,65.1,4.63,2.8,1140,normal
EQ-0369,Compressor,64.1,5.47,3.4,8458,normal
EQ-0370,Compressor,64.8,7.02,1.52,1708,alerta
EQ-0371,Ventilador,74.7,6.21,4.04,3630,alerta
EQ-0372,Ventilador,64.9,5.02,2.1,3211,normal
EQ-0373,Bomba,73.5,6.5,2.38,6538,normal
EQ-0374,Ventilador,94.9,1.8,1.58,9702,critico
EQ-0375,Motor,80.5,6.99,-0.27,475,alerta
EQ-0376,Ventilador,66.1,3.24,3.37,7684,normal
EQ-0377,Ventilador,84.4,5.03,3.21,9168,alerta
EQ-0378,Motor,65.1,4.04,2.09,1207,normal
EQ-0379,Bomba,45.5,3.82,2.47,1960,normal
EQ-0380,Motor,57.9,7.01,2.97,557,alerta
EQ-0381,Ventilador,47.6,4.89,0.68,882,normal
EQ-0382,Bomba,65.8,5.95,1.82,4761,normal
EQ-0383,Ventilador,70.2,5.44,3.27,5867,normal
EQ-0384,Motor,90.1,6.12,1.02,6963,critico
EQ-0385,Motor,73.9,5.6,2.72,7166,normal
EQ-0386,Ventilador,67.4,3.83,0.91,7929,normal
EQ-0387,Compressor,80.0,6.8,2.91,5347,alerta
EQ-0388,Compressor,43.5,4.86,2.36,7269,normal
EQ-0389,Motor,72.8,3.48,0.62,9802,normal
EQ-0390,Motor,79.3,4.94,3.68,8125,alerta
EQ-0391,Compressor,52.3,7.45,1.59,2454,alerta
EQ-0392,Compressor,83.7,6.61,1.51,4494,alerta
EQ-0393,Ventilador,74.1,5.05,2.62,1946,normal
EQ-0394,Ventilador,65.0,5.05,3.66,2808,alerta
EQ-0395,Compressor,77.6,5.08,1.28,6642,normal
EQ-0396,Ventilador,97.2,8.2,2.47,3825,critico
EQ-0397,Ventilador,72.2,6.0,2.87,3536,normal
EQ-0398,Bomba,73.0,6.06,3.16,6068,normal
EQ-0399,Ventilador,64.5,6.84,2.59,3802,normal
EQ-0400,Motor,59.8,5.81,2.0,4699,normal
EQ-0401,Ventilador,80.0,5.16,1.49,1970,alerta
EQ-0402,Ventilador,59.7,5.24,2.49,5806,normal
EQ-0403,Compressor,70.9,5.41,1.22,6142,normal
EQ-0404,Motor,64.3,5.45,-0.81,2819,normal
EQ-0405,Ventilador,75.7,6.45,2.88,9094,normal
EQ-0406,Ventilador,74.0,5.57,3.39,364,normal
EQ-0407,Bomba,82.5,6.45,-0.2,4258,alerta
EQ-0408,Ventilador,63.9,5.4,1.29,3119,normal
EQ-0409,Ventilador,66.8,5.6,3.08,1863,normal
EQ-0410,Bomba,58.3,2.9,4.66,115,critico
EQ-0411,Compressor,64.7,6.69,2.42,7084,normal
EQ-0412,Ventilador,74.5,5.95,1.6,8016,normal
EQ-0413,Bomba,79.1,6.8,2.2,2384,normal
EQ-0414,Motor,58.9,1.73,3.91,3935,critico
EQ-0415,Compressor,80.4,8.21,1.69,7742,critico
EQ-0416,Motor,86.3,5.32,1.52,5442,alerta
EQ-0417,Motor,75.0,6.94,1.87,2490,normal
EQ-0418,Bomba,92.5,4.15,1.35,6980,critico
EQ-0419,Ventilador,60.7,6.3,2.53,9134,normal
EQ-0420,Bomba,55.1,4.13,4.19,7661,alerta
EQ-0421,Bomba,48.7,4.69,2.76,1724,normal
EQ-0422,Bomba,88.0,7.99,2.12,8182,alerta
EQ-0423,Bomba,77.9,5.25,2.08,2767,normal
EQ-0424,Compressor,69.3,5.78,0.68,1137,normal
EQ-0425,Ventilador,73.4,6.63,3.37,4117,normal
EQ-0426,Motor,56.5,6.14,2.31,3420,normal
EQ-0427,Motor,99.3,5.7,2.2,5845,critico
EQ-0428,Ventilador,71.6,5.97,5.91,4778,critico
EQ-0429,Motor,71.3,8.62,2.73,3906,critico
EQ-0430,Ventilador,78.7,5.43,1.57,3637,normal
EQ-0431,Motor,75.8,5.76,1.93,2953,normal
EQ-0432,Bomba,72.7,6.87,3.66,5929,alerta
EQ-0433,Motor,60.5,6.94,2.52,276,normal
EQ-0434,Ventilador,75.7,7.04,0.82,1999,alerta
EQ-0435,Ventilador,92.6,6.33,3.41,1227,critico
EQ-0436,Ventilador,86.1,4.01,1.67,6337,alerta
EQ-0437,Ventilador,89.1,7.62,4.46,3735,alerta
EQ-0438,Ventilador,63.9,4.01,3.59,695,alerta
EQ-0439,Compressor,58.1,5.89,1.91,9501,normal
EQ-0440,Compressor,68.5,4.52,3.81,4152,alerta
EQ-0441,Motor,70.7,5.42,2.47,7901,normal
EQ-0442,Ventilador,83.1,5.93,3.34,7470,alerta
EQ-0443,Motor,49.7,5.92,2.93,7537,normal
EQ-0444,Ventilador,88.4,6.05,1.47,2841,alerta
EQ-0445,Ventilador,68.1,7.6,1.69,4208,alerta
EQ-0446,Compressor,64.9,6.09,3.53,8733,alerta
EQ-0447,Compressor,57.9,5.18,2.03,1088,normal
EQ-0448,Bomba,50.1,6.75,1.96,3363,normal
EQ-0449,Compressor,79.9,7.05,1.35,24,alerta
EQ-0450,Bomba,70.9,3.9,2.87,9764,normal
EQ-0451,Bomba,54.5,6.28,4.67,6144,critico
EQ-0452,Bomba,54.5,6.41,1.23,5668,normal
EQ-0453,Bomba,66.0,5.11,2.43,4236,normal
EQ-0454,Bomba,90.0,7.29,3.95,9959,critico
EQ-0455,Motor,66.9,5.3,2.31,8068,normal
EQ-0456,Compressor,52.0,5.66,2.9,2235,normal
EQ-0457,Bomba,67.1,5.28,1.23,7295,normal
EQ-0458,Ventilador,66.7,5.52,2.87,8392,normal
EQ-0459,Compressor,37.6,4.07,2.19,8448,normal
